ownerUsername,caption,likesCount,commentsCount,timestamp_kst,url,type,hashtags
bbang_hyojin,"#cu #서울우유 #저지밀크 #서울우유저지밀크푸딩 (2900) 🍮

달콤산뜻 호로록 부드럽게 먹기 좋은 입에서 녹는 푸딩! 탱글푸딩보단 이런 푸딩이 좀 더 괜찮아서 잘 먹은듯 ㅎㅎ
-
#빵효진_cu",33,3,2026-04-23,https://www.instagram.com/p/DXdXwd0mhdW/,Sidecar,"['cu', '서울우유', '저지밀크', '서울우유저지밀크푸딩', '빵효진_cu']"
bbang_hyojin,"#세븐일레븐 #신상아이스크림 #초성아이스크림 #불러바 (3000) 🫐🍠

블루베리우유맛에 크림치즈 풍미 살짝 느껴지는 보라부분 + 은은 고구마맛 노란부분으로 이루어진 초성 아이스크림 신상!

식감은 우유아이스크림류 식감인데 처음엔 약간 단단해서 살짝 녹여먹기 추천이고, 모양이나 초성뽑기 재밌으니 사먹어 볼만한듯!ㅎㅎ

뽑은건 한국인은 좀 흠칫하는 초성 ㅋㅋㅋㅎ🙃
-
#빵효진_세븐일레븐",562,28,2026-04-16,https://www.instagram.com/p/DXLqOxfkV4F/,Image,"['세븐일레븐', '신상아이스크림', '초성아이스크림', '불러바', '빵효진_세븐일레븐']"
bbang_hyojin,"#gs25 #요아정 #요거트아이스크림 #요아정블루베리그릭요거트샌드 (3000) 🫐

상큼달콤하고 산뜻 블루베리 그릭요거트 아이스크림 중간에 블루베리 시럽 구성이라 잘 먹은 아이스크림👍
-
#빵효진_gs25",30,4,2026-04-23,https://www.instagram.com/p/DXd3wJrEa8P/,Image,"['gs25', '요아정', '요거트아이스크림', '요아정블루베리그릭요거트샌드', '빵효진_gs25']"
bbang_hyojin,"#cu #신상아이스크림 #하이츄 #모리나가하이츄아이스바포도맛 (3000) 🍇

겉은 단단사각 샤베트제형 달콤상큼 하이츄 포도맛에 중간은 약간 쫀쫀하면서 포도카라멜 같은 맛으로 시원상큼 잘 먹은 아이스바✨
-
#빵효진_cu",53,11,2026-04-23,https://www.instagram.com/p/DXduCTuEXE_/,Image,"['cu', '신상아이스크림', '하이츄', '모리나가하이츄아이스바포도맛', '빵효진_cu']"
omuk.official,"☕이 정도면 ’유재석 아메리카노‘ 정식 출시 시급합니다. 유튜브 ’핑계고‘에서 늘 ”커피 연하게“를 외치던 유느님의 연연연한 아메리카노가 매번 화제인데요.

최근 공개된 ’풍향고2‘ 후일담 에피소드에서 이삭토스트가 오직 유재석 님만을 위한 ’초밀착 맞춤형 연한 아메리카노‘를 선보였습니다. 투명 컵 너머로 손가락이 비칠 만큼 맑은 빛깔에 유느님도 한 모금 마시자마자 ”딱 내 스타일!“이라며 극찬을 아끼지 않았는데요.

오먹 에디터가 궁금증을 참지 못하고 직접 마셔봤습니다. 보리차처럼 구수해 물처럼 가볍게 즐기기 좋은데요. 평소 연연연한 아메리카노를 외치는 분들을 위해 ’유재석 아메리카노‘ 나오면 안될까요?

📷유튜브 ‘핑계고’
✍🏻에디터 주스

#핑계고 #유재석",847,37,2026-04-24,https://www.instagram.com/p/DXfkgYvEo2S/,Sidecar,"['핑계고', '유재석']"
bbang_hyojin,"#cu #삼립 #흑임자 #순우유까망깨앙팡 (2000) 🖤

부드러운 빵 중간에 까망깨맛 좀 느껴지고 달콤부드러운 흑임자앙금 적당량 들어있는데, 약간 고소함도 느껴지면서 굿👍 흑임자 좋아하면 흰우유랑 같이 딱 간식으로 추천🥛
-
#빵효진_cu",57,5,2026-04-23,https://www.instagram.com/p/DXeRrbnkUNV/,Image,"['cu', '삼립', '흑임자', '순우유까망깨앙팡', '빵효진_cu']"
bbang_hyojin,"#세븐일레븐 #헬로키티 #사과당근에이드 #오렌지망고에이드 (2500) 🍎🥕🍊🥭

맑은 스타일 음료로 각각 맛이 은은달콤하게 느껴지는 스타일! 
위에 귀여운 헬로키티 부분 키링으로 활용하면 되는 제품✨
-
#빵효진_세븐일레븐",4,2,2026-04-24,https://www.instagram.com/p/DXf_Tspkbrv/,Image,"['세븐일레븐', '헬로키티', '사과당근에이드', '오렌지망고에이드', '빵효진_세븐일레븐']"
omuk.official,"✊저 (오랜만에) 용기냈습니다!

오먹 용기 기다리신 분 있나요 혹시,,?
이번엔 논현동 <영동시장>에 다녀왔습니다! 시장 답게 포장하고 싶은 음식들이 정~말 많았는데요.
이번만큼은 용기 크기가 작아서 너무 아쉬웠어요😢
요즘 포장 용기도 부족하다고 하니까 우리 같이 용기 내 보는 건 어떨까요?
자세한 용기 내용은 영상을 통해 확인해 보세요!

✍️에디터 포도

#용기_영동시장 #용기냈습니다 #용기내챌린지 #영동시장",806,14,2026-04-23,https://www.instagram.com/p/DXd_zkSj18y/,Video,"['용기_영동시장', '용기냈습니다', '용기내챌린지', '영동시장']"
bbang_hyojin,"#세븐일레븐 #삼각김밥 #비빔참치마요삼각김밥 #더커진반숙계란장삼각김밥 (1300,1900) 🍙

요즘 시리즈로 출시하는 데우지 않아도 좋은 삼각김밥!

비빔참치마요는 밥에도 참기름 등 간 되어있고 약간 쫀득 식감에 참치마요 조합 믿먹👍

반숙계란장은 간장소스밥 중간에 반숙계란 들어있는데 밥은 좀 더 간이 필요했고, 얘는 약간 데우는게 취향에는 좋았던! 그래도 무난하게 먹은 삼각김밥!
-
#빵효진_세븐일레븐",45,6,2026-04-23,https://www.instagram.com/p/DXdT5FjkSv_/,Image,"['세븐일레븐', '삼각김밥', '비빔참치마요삼각김밥', '더커진반숙계란장삼각김밥', '빵효진_세븐일레븐']"
bbang_hyojin,"#cu #신상빵 #달콤옥수수삼각빵 #명란감자삼각빵 (3000,3500) 🌽🥔

빵은 부드럽고 촉촉하면서 약간 버터 묻어나는 달콤한 빵이었고 중간에 각각 쫀득하고 달콤부드러운 떡+달콤한 옥수수, 짭쪼름부드러운 명란감자 적당량 들어있어서 간식으로 딱👍
-
#빵효진_cu",94,11,2026-04-23,https://www.instagram.com/p/DXdS5Gxkfpu/,Image,"['cu', '신상빵', '달콤옥수수삼각빵', '명란감자삼각빵', '빵효진_cu']"
